Filename,AUC Tumor Contrast,AUC Tumor Correlation,AUC Tumor Energy,AUC Tumor Homogeneity,TTP Tumor Contrast,TTP Tumor Correlation,TTP Tumor Energy,TTP Tumor Homogeneity,peakI Tumor Contrast,peakI Tumor Correlation,peakI Tumor Energy,peakI Tumor Homogeneity,decorr Tumor Contrast,decorr Tumor Correlation,decorr Tumor Energy,decorr Tumor Homogeneity
10N_LS174T.mat,0.536686051767258,0.977464094645282,0.799401709803003,0.971642345378651,81.6729894235695,0.752682301158326,0.717198111956109,0.877031264201961,2.19889565191189,0.977536967994943,0.717274987627328,0.923247921853535,0.801096815017929,0.888496989269582,0.983220015783485,0.993818915537003
10R_LS174T.mat,0.763005254122666,0.985968460068448,0.686877908628328,0.959094650537742,106.953759818967,0.722393560400985,0.678849647809926,0.850425873158466,2.90176481298444,0.984395156622848,0.678869557707752,0.905952597320578,0.411577277219997,0.812207276561096,0.996647486544934,0.99863270331166
11B_LS174T.mat,1.44828173676012,0.984551770120798,0.800569045974158,0.948822888894356,15.3427399727414,0.769191103206595,0.800735972307831,0.949633162573858,5.09679225077881,0.981491566503476,0.800539318057359,0.942463844095097,4.57438911604361,0.842456537863391,0.920524354901506,0.970359175733951
11L_LS174T.mat,0.679047227003967,0.958606577387356,0.895565613258719,0.980154952297896,37.3352730584038,0.746557231998063,0.874192813747601,0.946063559777502,3.78794002444927,0.965904244878057,0.872982650821757,0.96000184486363,0.71972531996108,0.847068724459513,0.990306422913845,0.996182293550158
11R_LS174T.mat,2.17123435054773,0.981595420897005,0.613330141097244,0.911352316622675,43.299765258216,0.712404272240722,0.61105438954775,0.893881147436429,5.30139866979656,0.985274956509816,0.609586743114255,0.881450452967105,3.68010563380282,0.882150209691003,0.889467217916092,0.963653474686918
1B_U87.mat,2.02224033778558,0.984967709870428,0.684969242675904,0.927891820399169,77.1012834179888,0.78416744516039,0.687060063091385,0.87318186588963,5.3900864321398,0.985347894047308,0.684875104704617,0.912783883670606,3.44963002445601,0.851047536100154,0.939029066821678,0.977576360981971
1L_U87.mat,2.50511222941129,0.982572202840062,0.659494310749666,0.920934615783755,21.6053298985542,0.778732430423034,0.660715921680031,0.914726582386715,6.89615784008307,0.985757274870609,0.659395793619356,0.902276117347495,3.58714753574567,0.848208256709618,0.937267004793741,0.976681187302409
1R_U87.mat,2.01742621015348,0.983066212493646,0.67266711861714,0.924816174837761,36.2905194805195,0.68522823312467,0.673602596148103,0.914078381022309,5.40672963400237,0.988671785713624,0.667115466560918,0.904757550861002,9.69371900826446,0.93716962218294,0.79405823553929,0.920601836658635
1_2L.mat,0.871199487625677,0.976628921490637,0.780748389687576,0.964481618708585,49.9472761987626,0.79179022426426,0.775472906014543,0.905876414382428,2.4034222737819,0.982567041722367,0.775426241208089,0.939683996191425,1.26357671113689,0.872828912218417,0.97723787382077,0.991565495464809
2B_U87.mat,2.09400426191399,0.985410691150135,0.73808455619799,0.936336294795655,21.3724331654397,0.694489876162541,0.739822554040525,0.932380752573255,7.29208640061991,0.984251988960049,0.737996754971045,0.928131260913979,8.78982629471781,0.888825588837642,0.87063516565517,0.949644921426521
2N_U87.mat,2.0139298245614,0.976198842083268,0.55149047816422,0.904006857584684,47.8264444444445,0.733748127361904,0.546704182893875,0.842067788621787,6.05085380116959,0.981798942688408,0.546590994972811,0.858569978825689,6.70538011695906,0.889103304149553,0.889296862555996,0.95701273736056
2R_U87.mat,1.96803581654433,0.987128786371074,0.589857578375781,0.904861657146317,117.502733093862,0.731460975834312,0.584613266639194,0.894445146184786,4.47721120308189,0.989152539505275,0.579993555529053,0.871438795790151,2.50856369410172,0.820748896022987,0.95152981940849,0.982709246153514
3B_U87.mat,1.29460963185086,0.964008156166394,0.816928336832129,0.958957588507498,33.1487047942483,0.695999153577062,0.822446830002963,0.935960928120529,3.99832905813071,0.970891539202878,0.814679457523873,0.94762114138715,4.43910545901225,0.836062032828358,0.950519799789969,0.980220341701758
3N_U87.mat,2.85450497642745,0.97678554390424,0.55401360721086,0.922122040114813,117.144159245678,0.739670256446982,0.553146577777912,0.814056700289588,8.614859437751,0.979071134413055,0.551716404491798,0.871616203139692,4.2379867295268,0.863898900876115,0.924799077955599,0.972192257343401
3R_U87.mat,1.81288669760247,0.98847299207147,0.622567745086098,0.908380687154654,62.596082269915,0.734056349138549,0.632525602230077,0.907605249952542,4.94541521655066,0.990799842301061,0.622465303181941,0.892014181060774,5.77785431167827,0.869118607922536,0.870063285851303,0.951668281671828
8L_LS174T.mat,2.11059743954481,0.967594200621176,0.662649948052148,0.936394925599078,62.2935946782697,0.787437027206415,0.662121606262944,0.883158910972904,6.01916157643712,0.976848555300828,0.662145641341374,0.901668516018183,3.06189858589239,0.850563665984943,0.953306082264516,0.981879925633012
8N_LS174T.mat,1.22817000796121,0.987372311098108,0.564648362469557,0.918568265239086,95.2681026995731,0.753501412143891,0.559829501398234,0.842271256159044,4.80408192805964,0.987424005107636,0.558849117352543,0.868577040904364,2.04475465006875,0.814187907573461,0.95850475624473,0.985101524632521
8R_LS174T.mat,1.15069857762534,0.977698863909123,0.698621322579828,0.952252151845308,71.4020730354081,0.762776249204292,0.697300880901354,0.88130905036386,4.02190305659235,0.981218411328291,0.697304964458667,0.916416769187259,1.07441617068496,0.890906463288422,0.979858092479031,0.992599006404321
